NH4+
NO2-
NO3-
SO32-
SO4-2
HSO4-
S2O3-2
C2O4-2
OH-
PO3-3
PO4-3
HPO4-2
H2PO4-
ClO4-
ClO3-
ClO2-
ClO-
BrO3-
IO3-
"CH3COO-
C2H3O2-"
CO32-
HCO3-
CrO4-2
Cr2O7-2
MnO4-
O2−2
CN-
OCN-
SCN-
