Ammonium
nitrite
nitrate
sulfite
sulfate
hydrogen sulfate
thiosulfate
oxalate
hydroxide
phosphite
phosphate
hydrogen phosphate
dihydrogen phosphate
perchlorate
chlorate
chlorite
hypochlorite
bromate
iodate
"acetate
acetate"
carbonate
"hydrogen carbonate
(aka: bicarbonate)"
chromate
dichromate
permanganate
peroxide
cyanide
cyanate
thiocyanate
